Index, pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,ObjName
1,-30,0,-32,0,4.71239,0,Ground_L
2,-30,0,-32,0,6.28319,0,Ground_I
3,-28,0,-32,0,6.28319,0,Ground_I
4,-26,0,-32,0,6.28319,0,Ground_I
5,-24,0,-32,0,6.28319,0,Ground_I
6,-22,0,-32,0,6.28319,0,Ground_I
7,-20,0,-32,0,6.28319,0,Ground_I
8,-18,0,-32,0,6.28319,0,Ground_I
9,-16,0,-32,0,6.28319,0,Ground_I
10,-14,0,-32,0,6.28319,0,Ground_I
11,-12,0,-32,0,6.28319,0,Ground_I
12,-10,0,-32,0,6.28319,0,Ground_I
13,-8,0,-32,0,6.28319,0,Ground_I
14,-6,0,-32,0,6.28319,0,Ground_I
15,-4,0,-32,0,6.28319,0,Ground_I
16,-2,0,-32,0,6.28319,0,Ground_I
17,0,0,-32,0,12.5664,0,Ground_L
18,0,0,-32,0,20.4204,0,Ground_I
19,0,0,-34,0,20.4204,0,Ground_I
20,0,0,-36,0,20.4204,0,Ground_I
21,0,0,-38,0,20.4204,0,Ground_I
22,0,0,-40,0,20.4204,0,Ground_I
23,0,0,-42,0,20.4204,0,Ground_I
24,0,0,-44,0,20.4204,0,Ground_I
25,0,0,-46,0,20.4204,0,Ground_I
26,0,0,-48,0,20.4204,0,Ground_I
27,0,0,-50,0,20.4204,0,Ground_I
28,0,0,-52,0,20.4204,0,Ground_I
29,0,0,-54,0,20.4204,0,Ground_I
30,0,0,-56,0,20.4204,0,Ground_I
31,0,0,-58,0,20.4204,0,Ground_I
32,0,0,-60,0,20.4204,0,Ground_I
33,0,0,-62,0,20.4204,0,Ground_I
34,0,0,-64,0,20.4204,0,Ground_I
35,0,0,-66,0,26.7035,0,Ground_L
36,0,0,-66,0,28.2743,0,Ground_I
37,-2,0,-66,0,28.2743,0,Ground_I
38,-4,0,-66,0,28.2743,0,Ground_I
39,-6,0,-66,0,28.2743,0,Ground_I
40,-8,0,-66,0,28.2743,0,Ground_I
41,-10,0,-66,0,28.2743,0,Ground_I
42,-12,0,-66,0,28.2743,0,Ground_I
43,-14,0,-66,0,28.2743,0,Ground_I
44,-16,0,-66,0,28.2743,0,Ground_I
45,-18,0,-66,0,28.2743,0,Ground_I
46,-20,0,-66,0,28.2743,0,Ground_I
47,-22,0,-66,0,28.2743,0,Ground_I
48,-24,0,-66,0,28.2743,0,Ground_I
49,-26,0,-66,0,28.2743,0,Ground_I
50,-28,0,-66,0,28.2743,0,Ground_I
51,-30,0,-66,0,28.2743,0,Ground_L
52,-30,0,-66,0,36.1283,0,Ground_I
53,-30,0,-64,0,36.1283,0,Ground_I
54,-30,0,-62,0,36.1283,0,Ground_I
55,-30,0,-60,0,36.1283,0,Ground_I
56,-30,0,-58,0,36.1283,0,Ground_I
57,-30,0,-56,0,36.1283,0,Ground_I
58,-30,0,-44,0,36.1283,0,Ground_I
59,-30,0,-42,0,36.1283,0,Ground_I
60,-30,0,-40,0,36.1283,0,Ground_I
61,-30,0,-38,0,36.1283,0,Ground_I
62,-30,0,-36,0,36.1283,0,Ground_I
63,-30,0,-34,0,36.1283,0,Ground_I
64,-28,0,-34,0,36.1283,0,Ground
65,-26,0,-34,0,36.1283,0,Ground
66,-24,0,-34,0,36.1283,0,Ground
67,-22,0,-34,0,36.1283,0,Ground
68,-20,0,-34,0,36.1283,0,Ground
69,-18,0,-34,0,36.1283,0,Ground
70,-16,0,-34,0,36.1283,0,Ground
71,-14,0,-34,0,36.1283,0,Ground
72,-12,0,-34,0,36.1283,0,Ground
73,-10,0,-34,0,36.1283,0,Ground
74,-8,0,-34,0,36.1283,0,Ground
75,-6,0,-34,0,36.1283,0,Ground
76,-4,0,-34,0,36.1283,0,Ground
77,-2,0,-34,0,36.1283,0,Ground
78,0,0,-34,0,36.1283,0,Ground
79,0,0,-36,0,36.1283,0,Ground
80,-2,0,-36,0,36.1283,0,Ground
81,-4,0,-36,0,36.1283,0,Ground
82,-6,0,-36,0,36.1283,0,Ground
83,-8,0,-36,0,36.1283,0,Ground
84,-10,0,-36,0,36.1283,0,Ground
85,-12,0,-36,0,36.1283,0,Ground
86,-14,0,-36,0,36.1283,0,Ground
87,-16,0,-36,0,36.1283,0,Ground
88,-18,0,-36,0,36.1283,0,Ground
89,-20,0,-36,0,36.1283,0,Ground
90,-22,0,-36,0,36.1283,0,Ground
91,-24,0,-36,0,36.1283,0,Ground
92,-26,0,-36,0,36.1283,0,Ground
93,-28,0,-36,0,36.1283,0,Ground
94,-28,0,-38,0,36.1283,0,Ground
95,-26,0,-38,0,36.1283,0,Ground
96,-24,0,-38,0,36.1283,0,Ground
97,-22,0,-38,0,36.1283,0,Ground
98,-20,0,-38,0,36.1283,0,Ground
99,-18,0,-38,0,36.1283,0,Ground
100,-16,0,-38,0,36.1283,0,Ground
101,0,0,-38,0,36.1283,0,Ground
102,-2,0,-38,0,36.1283,0,Ground
103,-6,0,-38,0,36.1283,0,Ground
104,-10,0,-38,0,36.1283,0,Ground
105,-12,0,-38,0,36.1283,0,Ground
106,-14,0,-38,0,36.1283,0,Ground
107,-28,0,-40,0,36.1283,0,Ground
108,-28,0,-42,0,36.1283,0,Ground
109,-28,0,-44,0,36.1283,0,Ground
110,-28,0,-46,0,36.1283,0,Ground
111,-28,0,-48,0,36.1283,0,Ground
112,-28,0,-50,0,36.1283,0,Ground
113,-28,0,-52,0,36.1283,0,Ground
114,-28,0,-54,0,36.1283,0,Ground
115,-28,0,-56,0,36.1283,0,Ground
116,-28,0,-58,0,36.1283,0,Ground
117,-28,0,-60,0,36.1283,0,Ground
118,-28,0,-62,0,36.1283,0,Ground
119,-28,0,-64,0,36.1283,0,Ground
120,-28,0,-66,0,36.1283,0,Ground
121,-26,0,-66,0,36.1283,0,Ground
122,-24,0,-66,0,36.1283,0,Ground
123,-22,0,-66,0,36.1283,0,Ground
124,-20,0,-66,0,36.1283,0,Ground
125,-18,0,-66,0,36.1283,0,Ground
126,-16,0,-66,0,36.1283,0,Ground
127,-14,0,-66,0,36.1283,0,Ground
128,-12,0,-66,0,36.1283,0,Ground
129,-10,0,-66,0,36.1283,0,Ground
130,-8,0,-66,0,36.1283,0,Ground
131,-6,0,-66,0,36.1283,0,Ground
132,-4,0,-66,0,36.1283,0,Ground
133,-2,0,-66,0,36.1283,0,Ground
134,0,0,-66,0,36.1283,0,Ground
135,0,0,-64,0,36.1283,0,Ground
136,0,0,-62,0,36.1283,0,Ground
137,0,0,-60,0,36.1283,0,Ground
138,0,0,-58,0,36.1283,0,Ground
139,0,0,-56,0,36.1283,0,Ground
140,0,0,-54,0,36.1283,0,Ground
141,0,0,-52,0,36.1283,0,Ground
142,0,0,-50,0,36.1283,0,Ground
143,0,0,-48,0,36.1283,0,Ground
144,0,0,-46,0,36.1283,0,Ground
145,0,0,-44,0,36.1283,0,Ground
146,0,0,-42,0,36.1283,0,Ground
147,0,0,-40,0,36.1283,0,Ground
148,-2,0,-40,0,36.1283,0,Ground
149,-4,0,-40,0,36.1283,0,Ground
150,-6,0,-40,0,36.1283,0,Ground
